SECURITY_INNER_CODE,SECURITY_CODE,SECUCODE,TRADE_DATE,SECURITY_NAME_ABBR,SUPERDEAL_INFLOW,SUPERDEAL_OUTFLOW,PRIME_INFLOW,CLOSE_PRICE,CHANGE_RATE,TRADE_MARKET_CODE,TURNOVERRATE,PRIME_COST,PE_DYNAMIC,PRIME_COST_20DAYS,PRIME_COST_60DAYS,ORG_PARTICIPATE,PARTICIPATE_TYPE,BIGDEAL_INFLOW,BIGDEAL_OUTFLOW,BUY_SUPERDEAL_RATIO,BUY_BIGDEAL_RATIO,RATIO,RATIO_3DAYS,RATIO_50DAYS,TOTALSCORE,RANK_UP,RANK,FOCUS,SECURITY_TYPE_CODE
1000001536,000001,000001.SZ,2025-02-11 00:00:00,平安银行,239959789,315472896,-113602677,11.36,-0.53,069001002001,0.24,11.413176487359,4.16,11.386553426465,11.566050076416,0.5154672,3,235469086,273558656,0.249,0.2443,0.4933,0.5511,0.517436,64.62768877,-580,1801,84.4,058001001
1000001543,000002,000002.SZ,2025-02-11 00:00:00,万  科Ａ,169888512,306172800,-122578976,7.18,-0.83,069001002001,0.97,7.30815058649,-3.58,7.107086466928,7.829445366843,0.4218872,3,341229840,327524528,0.1339,0.2689,0.4028,0.448466666667,0.429736,59.80903195,-531,3203,85.6,058001001
1000001641,000004,000004.SZ,2025-02-11 00:00:00,国华网安,9716616,11360824,-17172820,13.93,1.68,069001002001,9.41,14.024268089957,-38.6,12.436477389145,16.189031390003,0.1958276,1,57557066,73085678,0.0256,0.1518,0.1774,0.240333333333,0.175138,55.90100196,2444,4184,88.8,058001001
1000009567,000006,000006.SZ,2025-02-11 00:00:00,深振业Ａ,14924628,43910538,-39213429,6.98,-0.85,069001002001,1.31,7.112066978795,-13.5,7.058841887081,8.237850854624,0.3213592,2,47935165,58162684,0.0691,0.2219,0.291,0.352333333333,0.350796,52.31644788,1458,4801,75.2,058001001
1000001643,000007,000007.SZ,2025-02-11 00:00:00,全新好,2023400,9163634,-9877004,6.69,-0.59,069001002001,1.24,6.751774574207,547.31,6.987252392439,7.163707286914,0.2020056,1,7210096,9946866,0.045,0.1605,0.2055,0.192133333333,0.208078,56.89616814,212,3960,64,058001001
1000001644,000008,000008.SZ,2025-02-11 00:00:00,神州高铁,8989417,8691137,-15317240,2.74,-0.36,069001002001,1.16,2.746618177587,-31.04,2.662583521521,3.039069526069,0.2702648,2,31365899,46981419,0.0533,0.1861,0.2394,0.298733333333,0.304724,50.42316536,164,4982,70,058001001
1000001645,000009,000009.SZ,2025-02-11 00:00:00,中国宝安,12482555,16437537,-20658976,8.78,4.28,069001002001,1.34,8.411521892605,44.07,8.552423179848,9.64019855532,0.2632464,2,37699200,54403194,0.0648,0.1957,0.2605,0.280833333333,0.243732,61.43163972,-663,2717,76,058001001
1000001647,000010,000010.SZ,2025-02-11 00:00:00,美丽生态,1856610,1112496,-7774388,2.89,-1.37,069001002001,1.8,2.937719633422,-41.93,2.930370190523,3.004992997761,0.1955988,1,6561269,15079771,0.0377,0.1333,0.171,0.209133333333,0.236794,46.86497415,84,5115,67.2,058001001
1000001648,000011,000011.SZ,2025-02-11 00:00:00,深物业A,0,1670000,-3944014,8.27,-0.96,069001002001,0.34,8.358369161194,1032.27,8.321616446529,9.503622755867,0.1507848,1,3513996,5788010,0,0.1302,0.1302,0.158333333333,0.190924,57.18717401,-130,3887,70.4,058001001
1000001657,000012,000012.SZ,2025-02-11 00:00:00,南  玻Ａ,0,3928500,-1875257,4.98,-0.6,069001002001,0.34,5.001552548096,14.58,4.990070975608,5.382245096406,0.2153508,1,11164717,9111474,0,0.2071,0.2071,0.2213,0.227054,66.21802891,541,1395,76,058001001
1000000090,000014,000014.SZ,2025-02-11 00:00:00,沙河股份,1866763,7546759,-7474293,10.32,-1.24,069001002001,1.04,10.481052836813,39.96,10.23792282536,11.748345323634,0.2617696,2,16628510,18422807,0.0284,0.2531,0.2815,0.2534,0.224998,60.33455469,1998,3059,71.2,058001001
1000009568,000016,000016.SZ,2025-02-11 00:00:00,深康佳Ａ,45710771,48572753,-30071153,5.05,3.27,069001002001,4.89,4.956913490654,-5.68,5.612189998067,5.820737264863,0.268251,2,100031461,127240632,0.0841,0.1841,0.2682,0.290433333333,0.235105,52.73778897,926,4734,84.8,058001001
