publish_date,stock_code,stock_name,reduce_date,stakeholder,reduce_amount,reduce_rate,reduce_price
5/24/2023,000004,国华网安,5/12/2023,北京中关村并购母基金投资管理中心(有限合伙)-北京中关村并购母基金投资中心(有限合伙),1328400,1,10.43
5/24/2023,000004,国华网安,5/11/2023,北京中关村并购母基金投资管理中心(有限合伙)-北京中关村并购母基金投资中心(有限合伙),407000,0.31,9.84
5/31/2022,000009,中国宝安,5/24/2022,深圳市富安控股有限公司,1800000,0.07,11.91
3/17/2023,000009,中国宝安,3/16/2023,深圳市富安控股有限公司,1480200,0.06,11.91
4/19/2023,000009,中国宝安,4/17/2023,深圳市富安控股有限公司,11706600,0.454,11.67
7/4/2023,000009,中国宝安,6/21/2023,深圳市富安控股有限公司,5934600,0.23,12.36
5/30/2023,000021,深科技,5/29/2023,博旭(香港)有限公司,10297064,0.66,
5/30/2023,000021,深科技,2/21/2022,博旭(香港)有限公司,1630000,0.1,
7/1/2022,000025,特  力Ａ,6/30/2022,深圳远致富海珠宝产业投资企业(有限合伙),3146950,0.73,
9/27/2022,000025,特  力Ａ,9/23/2022,深圳远致富海珠宝产业投资企业(有限合伙),1163605,0.27,26.15
12/27/2022,000025,特  力Ａ,12/20/2022,深圳远致富海珠宝产业投资企业(有限合伙),430000,0.1,16.88
12/27/2022,000025,特  力Ａ,12/20/2022,深圳远致富海珠宝产业投资企业(有限合伙),919305,0.213,22.43
6/16/2023,000025,特  力Ａ,6/14/2023,深圳远致富海珠宝产业投资企业(有限合伙),49270,0.011,
3/22/2023,000026,飞亚达,3/20/2023,李明,70000,0.017,11.11
3/24/2023,000026,飞亚达,3/23/2023,唐海元,30000,0.007,11.25
3/24/2023,000026,飞亚达,3/22/2023,陆万军,48400,0.012,11.42
3/24/2023,000026,飞亚达,3/21/2023,唐海元,22500,0.005,11.3
3/24/2023,000026,飞亚达,3/21/2023,陆万军,21600,0.005,11.33
6/22/2022,000029,深深房Ａ,6/21/2022,邓康诚,2500,0,11.86
10/28/2022,000029,深深房Ａ,10/26/2022,深圳市投资控股有限公司,5039100,0.498,8.85
11/1/2022,000029,深深房Ａ,10/31/2022,深圳市投资控股有限公司,715400,0.071,
12/6/2022,000029,深深房Ａ,12/5/2022,深圳市投资控股有限公司,390000,0.039,
1/4/2023,000029,深深房Ａ,12/30/2022,深圳市投资控股有限公司,3674763,0.363,13.77
6/3/2022,000034,神州数码,6/2/2022,王晓岩,1222900,0.185,
6/3/2022,000034,神州数码,2/24/2020,中国希格玛有限公司,3150000,0.482,
6/21/2022,000034,神州数码,6/20/2022,王晓岩,1704600,0.258,
6/28/2022,000034,神州数码,6/27/2022,王晓岩,1354810,0.205,
8/2/2022,000034,神州数码,7/25/2022,王晓岩,4097500,0.618,
8/2/2022,000034,神州数码,7/19/2022,王晓岩,1992100,0.301,15.23
11/9/2022,000034,神州数码,11/7/2022,中信建投基金-中信证券-中信建投基金定增16号资产管理计划,1149891,0.173,
11/25/2022,000034,神州数码,11/23/2022,王晓岩,1107200,0.167,21
11/25/2022,000034,神州数码,11/10/2022,中信建投基金-中信证券-中信建投基金定增16号资产管理计划,817400,0.123,25.46
